last_situations
"{'p1': ('white', 'DONE', 0.5, 0.8826409999999989), 'p2': ('black', 'DONE', 0.5, 0.7504520000000002)}"
"{'p1': ('white', 'DONE', 0.5, 0.27088300000000043), 'p2': ('black', 'DONE', 0.5, 8.047001999999996)}"
"{'p1': ('white', 'TIMEOUT', None, -2.4613780000000007), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'TIMEOUT', None, -1.568360000000001), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 0.7545819999999985), 'p2': ('black', 'DONE', 0.5, 9.671000000000001)}"
"{'p1': ('white', 'TIMEOUT', None, -3.030543999999999), 'p2': ('black', 'DONE', 0, 9.997941)}"
"{'p1': ('white', 'DONE', 1, 0.05156100000000219), 'p2': ('black', 'DONE', 0, 9.542482000000001)}"
"{'p1': ('white', 'DONE', 0, 0.45974899999999974), 'p2': ('black', 'DONE', 1, 3.807169999999999)}"
"{'p1': ('white', 'DONE', 0, 0.6715300000000001), 'p2': ('black', 'DONE', 1, 8.547729999999998)}"
"{'p1': ('white', 'DONE', 0, 0.9915829999999997), 'p2': ('black', 'DONE', 1, 9.524904999999999)}"
"{'p1': ('white', 'DONE', 0, 0.8622600000000012), 'p2': ('black', 'DONE', 1, 7.568531999999994)}"
"{'p1': ('white', 'DONE', 0.5, 0.24557600000000024), 'p2': ('black', 'DONE', 0.5, 9.019561000000001)}"
"{'p1': ('white', 'DONE', 0.5, 0.6099000000000001), 'p2': ('black', 'DONE', 0.5, 8.42529)}"
"{'p1': ('white', 'TIMEOUT', None, -1.2874620000000014), 'p2': ('black', 'DONE', 0, 9.959268999999999)}"
"{'p1': ('white', 'TIMEOUT', None, -1.2214220000000005), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 0.9036879999999992), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.091880000000003), 'p2': ('black', 'DONE', 0.5, 0.8940949999999998)}"
"{'p1': ('white', 'DONE', 0.5, 7.584178), 'p2': ('black', 'DONE', 0.5, 8.467350000000001)}"
"{'p1': ('white', 'DONE', 1, 9.320789), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.751112), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 7.703978999999997), 'p2': ('black', 'DONE', 0.5, 9.638149000000004)}"
"{'p1': ('white', 'DONE', 0.5, 8.983183), 'p2': ('black', 'DONE', 0.5, 9.977686)}"
"{'p1': ('white', 'DONE', 1, 8.042085000000002), 'p2': ('black', 'DONE', 0, 9.345181000000002)}"
"{'p1': ('white', 'DONE', 0, 8.953547), 'p2': ('black', 'DONE', 1, 7.008561999999999)}"
"{'p1': ('white', 'DONE', 0.5, 8.806895), 'p2': ('black', 'DONE', 0.5, 8.991554000000002)}"
"{'p1': ('white', 'DONE', 0.5, 9.314106999999995), 'p2': ('black', 'DONE', 0.5, 9.644914)}"
"{'p1': ('white', 'DONE', 0, 8.666436000000001), 'p2': ('black', 'DONE', 1, 8.146022000000004)}"
"{'p1': ('white', 'DONE', 0, 8.690736), 'p2': ('black', 'DONE', 1, 8.462057)}"
"{'p1': ('white', 'DONE', 0, 8.888833999999997), 'p2': ('black', 'DONE', 1, 8.910811000000002)}"
"{'p1': ('white', 'DONE', 1, 9.400116), 'p2': ('black', 'DONE', 0, 9.841033)}"
"{'p1': ('white', 'DONE', 1, 9.416214), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.336882999999995), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 0.7785810000000014)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 8.451076999999998)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 10)}"
"{'p1': ('white', 'DONE', 1, 10), 'p2': ('black', 'DONE', 0, 9.886907)}"
"{'p1': ('white', 'DONE', 1, 10), 'p2': ('black', 'DONE', 0, 9.929198)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.519160000000003)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 1.6213300000000017)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 7.965116000000002)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.827309)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 8.695224)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.376217000000002)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 8.3487)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.548735)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 0.981449)}"
"{'p1': ('white', 'DONE', 0.5, 9.969933000000001), 'p2': ('black', 'DONE', 0.5, 7.7848500000000005)}"
"{'p1': ('white', 'DONE', 0.5, 9.986231), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.991745)}"
"{'p1': ('white', 'DONE', 1, 10), 'p2': ('black', 'DONE', 0, 9.647048000000003)}"
"{'p1': ('white', 'DONE', 0.5, 9.983704), 'p2': ('black', 'DONE', 0.5, 9.959849)}"
"{'p1': ('white', 'DONE', 1, 9.969868000000002), 'p2': ('black', 'DONE', 0, 3.6127619999999965)}"
"{'p1': ('white', 'DONE', 0.5, 9.996996000000001), 'p2': ('black', 'DONE', 0.5, 0.8177009999999998)}"
"{'p1': ('white', 'DONE', 1, 9.857835), 'p2': ('black', 'DONE', 0, 3.316384)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.355782000000001)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 8.737151000000003)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 8.806007000000003)}"
"{'p1': ('white', 'DONE', 0, 9.995043), 'p2': ('black', 'DONE', 1, 9.103765999999998)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 9.322036000000002)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 9.999308), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.063521000000001), 'p2': ('black', 'DONE', 0.5, 0.6149520000000017)}"
"{'p1': ('white', 'DONE', 0, 9.589789000000003), 'p2': ('black', 'DONE', 1, 5.280511)}"
"{'p1': ('white', 'DONE', 0.5, 8.012385999999992), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 8.746592000000005), 'p2': ('black', 'DONE', 0, 9.361506)}"
"{'p1': ('white', 'DONE', 1, 9.023145000000008), 'p2': ('black', 'DONE', 0, 8.988441999999994)}"
"{'p1': ('white', 'DONE', 0.5, 9.689556000000003), 'p2': ('black', 'DONE', 0.5, 9.995655)}"
"{'p1': ('white', 'DONE', 0.5, 8.24219), 'p2': ('black', 'DONE', 0.5, 3.2813010000000022)}"
"{'p1': ('white', 'DONE', 1, 8.916117000000002), 'p2': ('black', 'DONE', 0, 0.8170959999999993)}"
"{'p1': ('white', 'DONE', 0, 9.742462999999995), 'p2': ('black', 'DONE', 1, 5.995599999999999)}"
"{'p1': ('white', 'DONE', 1, 9.307876000000002), 'p2': ('black', 'DONE', 0, 7.717048000000001)}"
"{'p1': ('white', 'DONE', 1, 9.512717999999996), 'p2': ('black', 'DONE', 0, 7.500436)}"
"{'p1': ('white', 'DONE', 0.5, 8.931040000000005), 'p2': ('black', 'DONE', 0.5, 3.752916999999997)}"
"{'p1': ('white', 'DONE', 0, 9.195528000000001), 'p2': ('black', 'DONE', 1, 5.205136)}"
"{'p1': ('white', 'DONE', 0.5, 6.553070000000002), 'p2': ('black', 'DONE', 0.5, 2.526986999999999)}"
"{'p1': ('white', 'DONE', 0.5, 9.379322), 'p2': ('black', 'DONE', 0.5, 9.951416)}"
"{'p1': ('white', 'DONE', 1, 9.286214999999997), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.946058999999998), 'p2': ('black', 'DONE', 0.5, 0.7903680000000014)}"
"{'p1': ('white', 'DONE', 0.5, 9.988158), 'p2': ('black', 'DONE', 0.5, 6.587611000000001)}"
"{'p1': ('white', 'DONE', 0.5, 9.990910999999999), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0, 9.988044), 'p2': ('black', 'DONE', 1, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.935909999999998), 'p2': ('black', 'DONE', 0.5, 9.308852000000003)}"
"{'p1': ('white', 'DONE', 0.5, 9.981268000000002), 'p2': ('black', 'DONE', 0.5, 9.956951999999996)}"
"{'p1': ('white', 'DONE', 0.5, 9.968079999999999), 'p2': ('black', 'DONE', 0.5, 8.603581999999996)}"
"{'p1': ('white', 'DONE', 0, 9.98835), 'p2': ('black', 'DONE', 1, 4.466421)}"
"{'p1': ('white', 'DONE', 0.5, 9.987936), 'p2': ('black', 'DONE', 0.5, 5.731842999999999)}"
"{'p1': ('white', 'DONE', 0, 9.988019999999999), 'p2': ('black', 'DONE', 1, 9.139391)}"
"{'p1': ('white', 'DONE', 0, 9.995859999999999), 'p2': ('black', 'DONE', 1, 7.550622000000004)}"
"{'p1': ('white', 'DONE', 0, 9.986736), 'p2': ('black', 'DONE', 1, 8.502885000000003)}"
"{'p1': ('white', 'DONE', 0, 9.99426), 'p2': ('black', 'DONE', 1, 9.075816)}"
